Project Code,Project Title,IEEE Paper Title,IEEE Paper Link,Technologies Used
CS-611,Local Honeypot Performance Analyzer,Honeypot-based intrusion detection system: A performance analysis,https://ieeexplore.ieee.org/document/7724682/,"Cowrie-style simulated services on localhost (no ML), pandas log analysis, Streamlit dashboard with attack stats"
CS-612,IoT Deception Network Visualizer,Honeypot Networks in Deception Technology for IOT Devices,https://ieeexplore.ieee.org/document/10466175/,"Simulated IoT honeypot nodes (rule-based service emulation), pandas logging, Streamlit dashboard for topology & alerts"
CS-613,Deepfake Image Awareness Checker,Image-based DeepFake Detection Using Artificial Intelligence,https://ieeexplore.ieee.org/document/10968600/,"Existing pretrained deepfake-detection model (HuggingFace pipeline, inference only), Streamlit UI for image upload & educational verdict"
CS-614,Fake News / Misinformation Awareness Checker,Fake News Detection Using Machine Learning approaches: A systematic Review,https://ieeexplore.ieee.org/document/8862770/,"Existing pretrained fake-news classification pipeline (HuggingFace, inference only), Streamlit UI with an explicit ""not a definitive verdict"" disclaimer"
CS-615,Mini-SIEM Alert Correlation Dashboard,New Types of Alert Correlation for Security Information and Event Management,https://ieeexplore.ieee.org/document/7792462,"pandas rule-engine correlating public log dataset (LogHub/CIC-IDS) events, Streamlit UI for a correlated alert timeline"
CS-616,Kubernetes Misconfiguration Scanner,Security Aspects of Container Orchestration in Kubernetes Environments,https://ieeexplore.ieee.org/document/10959185/,"kube-linter/kubeaudit (open-source, free) against a local Minikube cluster, Streamlit dashboard of findings"
CS-617,Docker Image Vulnerability Assessment Dashboard,Secure Containers: A DevSecOps-Based Approach for Comprehensive Docker Image Vulnerability Assessment,https://ieeexplore.ieee.org/abstract/document/11478531/,"Trivy/Grype (free scanners) against sample Dockerfiles, Streamlit UI"
CS-618,DGA Botnet Domain Detector (Entropy-Based),Botnet Detection via Machine Learning Techniques,https://ieeexplore.ieee.org/abstract/document/9758492/,"Deterministic Shannon-entropy + n-gram heuristic rules (classic non-ML DGA detection, not the paper's ML classifiers), Streamlit UI for domain-name input"
CS-619,Prompt Injection Attack Detector,Fine-tuned Large Language Models (LLMs): Improved Prompt Injection Attacks Detection,https://ieeexplore.ieee.org/document/11126597/,"Existing local LLM (Ollama, prompted with a detection instruction, zero fine-tuning) + regex pre-filter, Streamlit UI"
CS-620,LLM Agent Forensic Log Analyzer,Forensic Analysis of Indirect Prompt Injection Attacks on LLM Agents,https://ieeexplore.ieee.org/document/10835636/,"Existing local LLM (Ollama, prompted only) reviewing agent transcript logs, pandas, Streamlit UI for log replay & flagging"
CS-621,Firewall Rule Anomaly Auditor,Firewall Configuration Review Tool with Secure Data Sharing,https://ieeexplore.ieee.org/document/11459602/,"Python rule engine parsing Cisco/iptables ACL exports, deterministic shadow/redundant/conflict-rule detection, Streamlit UI"
CS-622,Centralized ACL Config Manager & Auditor,FirewallPK: Security tool for centralized Access Control List management,https://ieeexplore.ieee.org/document/6955309,"Python rule-based ACL parser/validator for multi-device configs, SQLite for rule storage, Streamlit UI"
CS-623,Certificate Chain & Trust-Path Validator,CertChain: Public and Efficient Certificate Audit Based on Blockchain for TLS Connections,https://ieeexplore.ieee.org/document/8486344/,"`cryptography`/`pyOpenSSL` X.509 chain-of-trust validation against public CT logs (crt.sh API), Streamlit UI showing chain graph & revocation status"
CS-624,SSL/TLS Handshake & Cert Rule-Compliance Scanner,Using Frankencerts for Automated Adversarial Testing of Certificate Validation in SSL/TLS Implementations,https://ieeexplore.ieee.org/document/6956560/,"`sslyze` deterministic ruleset checking cert validity/expiry/weak-cipher/hostname-mismatch, Streamlit dashboard for domain scan reports"
CS-625,Secret & Hardcoded-Credential Scanner for Repos,Detecting and Mitigating Secret-Key Leaks in Source Code Repositories,https://ieeexplore.ieee.org/document/7180102/,"Regex + entropy-based pattern engine (gitleaks/detect-secrets style, no ML), GitPython for repo history scanning, Streamlit UI"
CS-626,LLM-Assisted Secret Triage Reviewer,Secret Breach Detection in Source Code with Large Language Models,https://ieeexplore.ieee.org/document/11323433/,"Regex/entropy pre-filter + a local Ollama LLM (zero fine-tuning) prompted only to classify pre-filtered hits as true/false positive, Streamlit UI"
CS-627,YARA Signature-Based File/Malware Scanner,Detection of Malware by Using YARA Rules,https://ieeexplore.ieee.org/document/10549308/,"`yara-python` running community YARA rulesets against uploaded files (pure signature matching, zero ML), Streamlit UI for rule-hit explorer"
CS-628,Real-Time File-Drop YARA Watchdog,A Real-Time Malware Detection System Combined With Machine Learning and YARA Rules,https://ieeexplore.ieee.org/document/11019180/,"*(YARA-only subset of the paper's architecture)*: Python `watchdog` folder monitoring + `yara-python` signature matching only (no ML component built), Streamlit live-alert UI"
CS-629,CVE Lookup & Advisory Explorer,CVE Records of Known Exploited Vulnerabilities,https://ieeexplore.ieee.org/document/10150856/,"Client for NVD/CISA KEV public REST APIs, local SQLite cache, rule-based CVSS/EPSS severity filters, Streamlit UI for search/filter/export"
CS-630,Dependency Vulnerability Auditor (SBOM-based),A Python-Based Network Vulnerability Scanner Tool for Enhanced Cybersecurity,https://ieeexplore.ieee.org/abstract/document/11115758/,"Wrapper orchestrating `pip-audit`/`npm audit`/OWASP Dependency-Check (existing deterministic scanners), CycloneDX SBOM parsing, Streamlit UI"
CS-631,CIS Benchmark Compliance Scanner for Network Devices,An Automatic Networking Device Auditing Tool Based on CIS Benchmark,https://ieeexplore.ieee.org/document/9454830/,"Netmiko/Paramiko to pull device configs, rule-based YAML CIS-control checks, Streamlit dashboard with pass/fail report + PDF export"
CS-632,CIS Controls v8 Coverage Mapper & Gap Checklist,A Survey of Major Cybersecurity Compliance Frameworks,https://ieeexplore.ieee.org/document/10565236/,"Rule engine mapping user-answered checklist items to CIS Controls v8/NIST CSF/PCI DSS clauses, Streamlit UI with radar-chart gap score"
CS-633,SPF/DKIM/DMARC Email Authentication Validator,Towards Understanding the Adoption of Anti-Spoofing Protocols in Email Systems,https://ieeexplore.ieee.org/document/8543392/,"`dnspython`/`checkdmarc` for live DNS lookups, deterministic SPF/DKIM/DMARC record parsing & alignment rules, Streamlit UI"
CS-634,Email Header Forensics & Spoofing Checker,Forensic analysis of E-mail address spoofing,https://ieeexplore.ieee.org/document/6949302/,"`email`/`mailparser` header parser, rule-based checks (Received-chain, Return-Path vs. From mismatch), Streamlit UI with highlighted red flags"
CS-635,SSH/Web Login Brute-Force Threshold Monitor,Detection of SSH Brute Force Attacks Using Aggregated Netflow Data,https://ieeexplore.ieee.org/document/7424322/,"Log-tailing of auth.log/access logs, sliding-window rule engine (N failed attempts per IP/user in T seconds), SQLite + Streamlit live dashboard"
CS-636,Configurable Account-Lockout Policy Simulator,Mitigating the authentication vulnerabilities in Web applications through security requirements,https://ieeexplore.ieee.org/document/6141435/,"Rule engine implementing configurable lockout policies (attempt count/cooldown/backoff), synthetic login-attempt CSV replay, Streamlit UI"
CS-637,LLM-Assisted Incident Response Playbook Generator,Reducing Mean Time To Respond Using Large Language Model-Driven Incident Response with the Aid of Reactively Retrieved Threat Intelligence,https://ieeexplore.ieee.org/document/11167573/,"Ollama (local LLM, pretrained, no fine-tuning) prompted with incident description + retrieved MITRE ATT&CK reference text (RAG via FAISS, no training), Streamlit chat UI"
CS-638,SOC Runbook Q&A Assistant over Uploaded Playbooks,LLM-Powered Autonomous Security Agents for Next-Generation Cyber Defence,https://ieeexplore.ieee.org/document/11395792/,"FAISS RAG over user-uploaded PDF/Markdown runbooks, free-tier Groq/Gemini or local Ollama LLM (pretrained only), Streamlit chat UI"
CS-639,Threat Report IOC Extractor,Revealing the True Indicators: Understanding and Improving IoC Extraction From Threat Reports,https://ieeexplore.ieee.org/document/11391793/,"Regex/rule-based pre-filter (IPs, hashes, domains, CVEs) + a pretrained LLM (Ollama/Groq, zero fine-tuning) for contextual validation/dedup, Streamlit UI with exportable IOC table"
CS-640,CTI Report Summarizer & TTP Highlighter,Multi-Step LLM Pipeline for Enhancing TTP Extraction in Cyber Threat Intelligence,https://ieeexplore.ieee.org/document/11205489/,"Pretrained LLM (local Ollama or free-tier Gemini/Groq) in a multi-step pipeline summarizing uploaded CTI PDFs and tagging MITRE ATT&CK TTPs from a static reference list, Streamlit UI"
CS-641,Automated Nmap Scan-and-Report Dashboard,Automated Network Vulnerability Assessment with Nmap: A Comprehensive Approach,https://ieeexplore.ieee.org/document/10918528/,"`python-nmap` wrapper around the existing Nmap binary + rule-based severity scoring against a static port-risk lookup table, Streamlit UI for scan launch & report export"
CS-642,CI-Friendly Nmap Automation & Scheduler,Automation of Nmap Scanning of Information Systems,https://ieeexplore.ieee.org/document/10496014/,"Nmap + `vulners.nse` (existing, unmodified) via Python subprocess, APScheduler for recurring scans, rule-based diffing between scan runs, Streamlit UI"
CS-643,Digital Signature & Document Fingerprint Verifier,SIGNIN: The Digital Signature and File Verification Management Application Using Secure Rapid Application Development Approach,https://ieeexplore.ieee.org/document/10442845/,"`cryptography`/`pyca` RSA/ECDSA sign-and-verify + SHA-256 hashing for tamper detection, local certificate store, Streamlit UI"
CS-644,OCR-Backed Tamper-Proof Document Checker,OCR-Enhanced Digital Signatures for Tamper-Proof Document Integrity Verification,https://ieeexplore.ieee.org/document/11171838/,"Existing pretrained OCR pipeline (Tesseract/EasyOCR, no fine-tuning) for content extraction + RSA-2048 signature verification + hash-comparison rule engine, Streamlit UI"
CS-645,Least-Privilege RBAC Policy Auditor,Using RBAC to Enforce the Principle of Least Privilege in Industrial Remote Maintenance Sessions,https://ieeexplore.ieee.org/document/8554805/,"Rule engine parsing uploaded RBAC policy JSON/YAML against least-privilege heuristics (over-permissioned role detection), Streamlit UI with policy graph (NetworkX)"
CS-646,Role Conflict & Separation-of-Duties Checker,Mutual exclusion and role inheritance affecting least privilege in RBAC,https://ieeexplore.ieee.org/document/5678530,"Static constraint-satisfaction rule checker (`z3-solver`) over an uploaded RBAC role hierarchy, Streamlit UI for conflict report"
CS-647,Face Liveness / Anti-Spoof Checker,Face Liveness Detection Using a sequential CNN technique,https://ieeexplore.ieee.org/document/9376030/,"Existing pretrained anti-spoofing heuristics (MediaPipe FaceMesh blink/texture, inference only), webcam capture, Streamlit/Gradio UI"
CS-648,Image-Quality-Based Spoof Screener,Face Liveness Detection Based on Perceptual Image Quality Assessment Features with Multi-scale Analysis,https://ieeexplore.ieee.org/document/8354116/,"Existing pretrained image-quality metrics (BRISQUE/NIQE via `pyiqa`, no training) + rule-based thresholding to flag recaptured/printed photos, Gradio UI"
CS-649,Phishing Email Simulator & Explainer,An Anti-phishing Training System for Security Awareness and Education Considering Prevention of Information Leakage,https://ieeexplore.ieee.org/document/8714691/,"Existing free-tier/local LLM (Ollama, prompted not fine-tuned) generating simulated phishing emails + rule-based red-flag highlighter, Streamlit UI"
CS-650,Phishing Click-Risk Awareness Dashboard,Impact of security awareness training on phishing click-through rates,https://ieeexplore.ieee.org/document/8258485/,"Rule-based scoring engine tallying simulated-campaign click/report events against a static risk rubric, Streamlit dashboard with cohort trend charts"
