Project Code,Project Title,IEEE Paper Title,IEEE Paper Link,Technologies Used
AG-AI-118,Security Log Threat-Analysis Agent,Agentic AI in Cybersecurity Review of Autonomous Threat Detection and Adaptive Defense Mechanisms,https://ieeexplore.ieee.org/document/11431003/,"LangChain agent + rule checks over a public log dataset (e.g. Kaggle SSH/Apache auth logs), Streamlit SOC-style dashboard"
AG-AI-119,Multi-Source Alert Correlation Agent,A Multi-Agent System for Cybersecurity Threat Detection and Correlation Using Large Language Models,https://ieeexplore.ieee.org/document/11141466/,"CrewAI (per-source parsing agents + a correlation agent), public IDS dataset (e.g. NSL-KDD sample), Streamlit dashboard"
AG-AI-120,AI Incident-Response Recommendation Agent,LLM-Powered Autonomous Security Agents for Next-Generation Cyber Defence,https://ieeexplore.ieee.org/document/11395792/,"LangGraph agent that takes a described incident and proposes response steps (decision-support only, no live network access), Streamlit UI"
AG-AI-121,Chatbot Interaction-Design A/B Testing Tool,Understanding customer service chatbot user experience: An experimental study of chatbot interaction design,https://ieeexplore.ieee.org/document/10664168/,"LangChain agent, Streamlit chat widget with configurable tone/response-delay variants, local CSV logging for comparison"
AG-AI-122,Real-Time FAQ Support Agent,Real-Time Customer Support Chatbots for Enhancing Service Efficiency Through Advanced Language Models,https://ieeexplore.ieee.org/document/10947795/,"LangChain, ChromaDB over an FAQ doc, Streamlit chat UI, Groq free API"
AG-AI-123,Small Business Assistant Chatbot,ChatPy: Conversational agent for SMEs,https://ieeexplore.ieee.org/document/8760624/,"LangChain rule+LLM hybrid, Streamlit UI, sample product/inventory data"
AG-AI-124,"Tool-Using AI Agent (Calculator, Search, Weather)",MLLM-Tool: A Multimodal Large Language Model for Tool Agent Learning,https://ieeexplore.ieee.org/document/10943671/,"LangChain function-calling agent with free tools (calculator, DuckDuckGo search, Open-Meteo weather API), Gradio UI"
AG-AI-125,No-Code Personal Agent Builder,Development of AI Agent Based on Large Language Model Platforms,https://ieeexplore.ieee.org/document/11082094/,"Streamlit form letting a user define an agent's persona/tools/system-prompt without code, LangChain backend, Ollama"
AG-AI-126,Prompt-Chain Workflow Builder,Enhancing AI Systems with Agentic Workflows Patterns in Large Language Model,https://ieeexplore.ieee.org/document/10578990/,"LangGraph implementing chaining/routing/parallelization patterns, Streamlit UI to build and run a custom chain"
AG-AI-127,AI-Generated SOP/Documentation Assistant,SOP-GPT: A Framework for AI Agents Based on Artificial Intelligence-Generated Content,https://ieeexplore.ieee.org/document/10510819/,"LangChain content-generation agent, Streamlit document editor + export-to-PDF UI"
AG-AI-128,Personal Task & To-Do Assistant Agent,IPA - An intelligent personal assistant agent for task performance support,https://ieeexplore.ieee.org/document/5284791/,"LangChain agent with to-do/reminder tools, SQLite storage, Streamlit UI"
AG-AI-129,Exam Timetable Scheduling Agent,An Agent-Based Personal Assistant for exam scheduling,https://ieeexplore.ieee.org/document/6618660/,"LangChain agent + Google OR-Tools (free constraint solver) for room/proctor/slot allocation, Streamlit UI"
AG-AI-130,Simulated Smart Home Voice Assistant (Virtual Devices),AIoT Smart Home via Autonomous LLM Agents,https://ieeexplore.ieee.org/document/10729865/,"LangChain agent controlling a Streamlit virtual-device dashboard (toggle lights/fans), free speech-to-text (Vosk), optional real ESP32 as a stretch goal"
AG-AI-131,AI Travel Itinerary Planner,Research on Development and Application of AI Agent for Travel Recommendation Driven by Large Language Model,https://ieeexplore.ieee.org/document/10545805/,"LangChain planning agent, OpenStreetMap Nominatim API (free), Streamlit itinerary UI"
AG-AI-132,Buyer-Seller Negotiation Simulator (Two AI Agents),A Novel Multi-Agent Negotiation Model for E-Commerce Platform,https://ieeexplore.ieee.org/document/8332789/,"CrewAI (buyer agent, seller agent, optional mediator), Streamlit UI showing the negotiation transcript and final deal"
AG-AI-133,Resume Screening & Feedback Agent,ReSage AI: An AI-Enhanced Resume Screening Framework with Intelligent Content Scoring and Suggestive Feedback Mechanism,https://ieeexplore.ieee.org/document/11448669/,"LangChain agent, PyPDF2 resume parsing, rule+LLM scoring, Streamlit upload UI"
AG-AI-134,Resume Analyzer & Job-Fit Scoring Agent,"ResuMate AI: A Comprehensive Framework for Intelligent Resume Analysis, Scoring, and Recommendation",https://ieeexplore.ieee.org/document/11440494/,"LangChain, spaCy NLP parsing, Streamlit dashboard comparing resume vs. job description"
AG-AI-135,Legal Document Summarizer Agent,Analysis of Legal Case Document Automated Summarizer,https://ieeexplore.ieee.org/document/9609442/,"LangChain extractive+abstractive summarization agent, Streamlit document-upload UI"
AG-AI-136,Legal Risk Highlighter Assistant,Use of Artificial Intelligence to Analyse Risk in Legal Documents for a Better Decision Support,https://ieeexplore.ieee.org/document/8650382/,"LangChain agent + regex/keyword rule set, Streamlit ""risk-o-meter"" UI, ""not legal advice"" disclaimer"
AG-AI-137,Autonomous Web Form-Filling Agent,Agent Based Web Browser,https://ieeexplore.ieee.org/document/4976589/,"LangChain + Playwright (free browser automation) on a sample form/search site, Streamlit control panel"
AG-AI-138,Meeting Recording → Minutes & Action Items Agent,MeetSumAid: A Mobile Human-AI Collaborative Meeting Summarization System,https://ieeexplore.ieee.org/document/11408209/,"Free speech-to-text (faster-whisper), LangChain summarization agent, Streamlit UI listing action items"
AG-AI-139,Research Paper Analysis & Summarization Agent,AI Agent for Scientific Paper Analysis,https://ieeexplore.ieee.org/document/11350774/,"LangChain agent, pdfplumber section-segmentation (abstract/methods/results), Streamlit UI"
AG-AI-140,Smart Agriculture Advisory Chatbot,"AI-Driven Smart Agriculture: An Integrated Approach for Soil Analysis, Irrigation, and Crop-Fertilizer Recommendations",https://ieeexplore.ieee.org/document/11104235/,"LangChain agent, free weather API (Open-Meteo), rule-based crop/fertilizer advisory logic, Streamlit UI with soil-input form"
AG-AI-141,AI Agent Prompt-Injection Security Auditor,Security of AI Agents,https://ieeexplore.ieee.org/document/11029384/,"LangChain agent under test, a library of known prompt-injection payloads, Streamlit dashboard reporting pass/fail per attack"
AG-AI-142,Multi-Agent Debate Simulator (Consensus Building),LLM-Based Multi-Agent Decision-Making: Challenges and Future Directions,https://ieeexplore.ieee.org/document/10970024/,"CrewAI (2–3 debating agents + a judge agent), Streamlit UI showing rounds and final consensus on a user-given topic"
AG-AI-143,Agent Reasoning-Pattern Demo (ReAct vs. Plan-and-Execute),"A Survey of LLM-based Agents: Theories, Technologies, Applications and Suggestions",https://ieeexplore.ieee.org/document/10748304/,"LangGraph implementing both patterns side by side, Ollama, Streamlit UI comparing steps/answers on the same question"
AG-AI-144,Career Guidance & Skill-Gap Chatbot Agent,"AI-Driven Transformation of HR: Enhancing Recruitment, Training, and Employee Retention",https://ieeexplore.ieee.org/document/10837981/,"LangChain agent comparing a resume against target job descriptions, Streamlit UI showing skill gaps + learning suggestions"
AG-AI-145,Multilingual Lecture/Meeting Summarizer,AI Powered Multilingual Meeting Summarization,https://ieeexplore.ieee.org/document/10463307/,"Free speech-to-text (faster-whisper) + free translation (Argos Translate/NLLB open model), LangChain summarizer, Streamlit UI"
AG-AI-146,Adaptive Personalized Learning Path Recommender,"Adaptive AI Agent Systems for Personalized Learning: Frameworks, Algorithms, and Practical Applications in Education",https://ieeexplore.ieee.org/document/11158641/,"LangChain agent + rule-based mastery tracker (per-topic score in SQLite), Streamlit UI recommending the next topic to study"
AG-AI-147,Generative AI Tutor Chatbot (Subject Persona),A Generative Artificial Intelligence Based Tutor for Personalized Learning,https://ieeexplore.ieee.org/document/10779525/,"LangChain persona-driven tutor agent, ChromaDB over a syllabus, Streamlit chat UI"
AG-AI-148,Spaced-Repetition Study Companion Agent,AI-EduAgent: A Decentralized Autonomous AI Agent for Real-Time Adaptive Personalized Learning,https://ieeexplore.ieee.org/document/11196718/,"LangChain agent + spaced-repetition scheduling logic (SQLite), Streamlit flashcard UI"
AG-AI-149,Reliability Test Harness for Student Agentic Apps,Automation Testing Framework for Reliable Autonomous Agentic AI,https://ieeexplore.ieee.org/document/11135911/,"LangChain agent-under-test, a Python test-runner script defining expected-behavior checks, Streamlit pass/fail report UI"
AG-AI-150,Smart Parking Reservation Agent,Agentic AI Systems: Architecture and Evaluation Using a Frictionless Parking Scenario,https://ieeexplore.ieee.org/document/11083588/,"CrewAI (slot-search agent + reservation agent), SQLite parking-slot database (self-seeded sample data), Streamlit UI simulating search & booking"
